Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,city,city_ascii,Latitude,Longitude,country,iso2,iso3,admin_name,capital,population,id
Ecuador,Nueva Loja,10,Good,1,Good,5,Good,0,Good,10,Good,Nueva Loja,Nueva Loja,0.0847,-76.8828,Ecuador,EC,ECU,Sucumbíos,admin,55627.0,1218895755.0
Nigeria,Numan,70,Moderate,2,Good,37,Good,0,Good,70,Moderate,Numan,Numan,9.4669,12.0328,Nigeria,NG,NGA,Adamawa,minor,141200.0,1566815415.0
Japan,Oga,65,Moderate,2,Good,31,Good,5,Good,65,Moderate,Oga,Oga,39.8868,139.8476,Japan,JP,JPN,Akita,,24690.0,1392185256.0
Netherlands,Oirschot,44,Good,1,Good,39,Good,1,Good,44,Good,Oirschot,Oirschot,51.5047,5.3128,Netherlands,NL,NLD,Noord-Brabant,minor,18842.0,1528394543.0
Spain,Mairena Del Alcor,43,Good,1,Good,43,Good,0,Good,14,Good,Mairena Del Alcor,Mairena del Alcor,37.3667,-5.7333,Spain,ES,ESP,Andalusia,,24238.0,1724398748.0
India,Maksi,205,Very Unhealthy,2,Good,31,Good,3,Good,205,Very Unhealthy,Maksi,Maksi,23.26,76.1457,India,IN,IND,Madhya Pradesh,,24189.0,1356073929.0
India,Mandi,136,Unhealthy for Sensitive Groups,3,Good,32,Good,6,Good,136,Unhealthy for Sensitive Groups,Mandi,Mandi,31.7069,76.9317,India,IN,IND,Himāchal Pradesh,,26422.0,1356326622.0
India,Manglaur,178,Unhealthy,7,Good,13,Good,19,Good,178,Unhealthy,Manglaur,Manglaur,29.8,77.87,India,IN,IND,Uttarākhand,,52971.0,1356014281.0
Pakistan,Mansehra,176,Unhealthy,5,Good,29,Good,10,Good,176,Unhealthy,Mansehra,Mansehra,34.3339,73.2014,Pakistan,PK,PAK,Khyber Pakhtunkhwa,minor,69085.0,1586902336.0
Ecuador,Manta,56,Moderate,1,Good,23,Good,0,Good,56,Moderate,Manta,Manta,-0.95,-80.7162,Ecuador,EC,ECU,Manabí,minor,258697.0,1218160109.0
Philippines,Mapandan,97,Moderate,2,Good,27,Good,6,Good,97,Moderate,Mapandan,Mapandan,16.026,120.454,Philippines,PH,PHL,Pangasinan,,38058.0,1608000894.0
Portugal,Vila Do Conde,39,Good,0,Good,39,Good,1,Good,19,Good,Vila Do Conde,Vila do Conde,41.35,-8.75,Portugal,PT,PRT,Porto,minor,79533.0,1620584469.0
Dominican Republic,Villa Altagracia,114,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,114,Unhealthy for Sensitive Groups,Villa Altagracia,Villa Altagracia,18.67,-70.17,Dominican Republic,DO,DOM,Valdesia,,84312.0,1214414901.0
Spain,Villafranca De Los Barros,37,Good,1,Good,37,Good,0,Good,14,Good,Villafranca De Los Barros,Villafranca de los Barros,38.5667,-6.3333,Spain,ES,ESP,Extremadura,,12362.0,1724272394.0
Spain,Villarrobledo,40,Good,1,Good,40,Good,0,Good,12,Good,Villarrobledo,Villarrobledo,39.2667,-2.6,Spain,ES,ESP,Castille-La Mancha,,25262.0,1724704168.0
France,Vitrolles,47,Good,1,Good,47,Good,3,Good,41,Good,Vitrolles,Vitrolles,43.46,5.2486,France,FR,FRA,Provence-Alpes-Côte d’Azur,,36612.0,1250199358.0
Brazil,Votorantim,72,Moderate,1,Good,30,Good,1,Good,72,Moderate,Votorantim,Votorantim,-23.5469,-47.4378,Brazil,BR,BRA,São Paulo,minor,127923.0,1076604064.0
Japan,Susaki,50,Good,1,Good,40,Good,1,Good,50,Good,Susaki,Susaki,33.3925,133.2931,Japan,JP,JPN,Kōchi,,20429.0,1392572991.0
Portugal,Lamego,25,Good,0,Good,25,Good,2,Good,15,Good,Lamego,Lamego,41.0975,-7.81,Portugal,PT,PRT,Viseu,minor,26691.0,1620221228.0
China,Langfang,137,Unhealthy for Sensitive Groups,4,Good,125,Unhealthy for Sensitive Groups,7,Good,137,Unhealthy for Sensitive Groups,Langfang,Langfang,39.5383,116.6835,China,CN,CHN,Hebei,minor,4358839.0,1156109017.0
Germany,Langwedel,67,Moderate,1,Good,36,Good,4,Good,67,Moderate,Langwedel,Langwedel,52.9667,9.2167,Germany,DE,DEU,Lower Saxony,,14729.0,1276601336.0
Italy,Latisana,72,Moderate,1,Good,40,Good,2,Good,72,Moderate,Latisana,Latisana,45.7833,13.0,Italy,IT,ITA,Friuli Venezia Giulia,,13133.0,1380553278.0
Germany,Lauchhammer,72,Moderate,1,Good,30,Good,4,Good,72,Moderate,Lauchhammer,Lauchhammer,51.5,13.8,Germany,DE,DEU,Brandenburg,,13951.0,1276576746.0
Canada,Leamington,77,Moderate,2,Good,29,Good,13,Good,77,Moderate,Leamington,Leamington,42.0667,-82.5833,Canada,CA,CAN,Ontario,,35730.0,1124258797.0
